👑凯少爷4K直播,#genre#
凯少爷直播,https://vd2.bdstatic.com/mda-pmebuu7dbqhn0yx2/hd/cae_h264/1702649742166738269/mda-pmebuu7dbqhn0yx2.mp4?auth_key=1717125077-0-0-664d1149ead589ca774c74f09917ff36&bcevod_channel=searchbox_feed&pd=1&cr=1&cd=0&pt=4&logid=0677217795&vid=10434105645674545006&abtest=all
💔凯少爷好难,https://vd3.bdstatic.com/mda-mi8iee21bndh1caw/hd/cae_h264/1631192960632939306/mda-mi8iee21bndh1caw.mp4?auth_key=1717567202-0-0-a15ed8c2a906ea31eb25503564bc7b45&bcevod_channel=searchbox_feed&pd=1&cr=1&cd=0&pt=4&logid=0002565416&vid=13129741298511064907&abtest=all
VIP,https://vd3.bdstatic.com/mda-pgqkuqmm8w6apn0n/576p/h264/1690296321719842653/mda-pgqkuqmm8w6apn0n.mp4?auth_key=1717566173-0-0-6bc84d5146bce799cdf0f6d648156b43&bcevod_channel=searchbox_feed&pd=1&cr=1&cd=0&pt=4&logid=2573214858&vid=8014833498457707747&abtest=all
💔凯少爷好难^*,https://alimov2.a.kwimgs.com/upic/2023/04/22/17/BMjAyMzA0MjIxNzI1MzZfMjgzNjA2ODc5N18xMDEyMzc2NjE3NDlfMF8z_b_B97021f3592e1779257f420d55885ac3a.mp4?clientCacheKey=3x73a4vbk8wzt2q_b.mp4&tt=b&di=b7d53c28&bp=10000

CCTV-01 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-02 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-03 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-04 国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-05 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV+5+ 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-06 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-07 国防,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-08 电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-09 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12 社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16 奥林,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

央视-电信,#genre#
CCTV01电信,http://124.115.205.101:8888/newlive/live/hls/2/live.m3u8
CCTV02电信,http://124.115.205.101:8888/newlive/live/hls/3/live.m3u8
CCTV03电信,http://124.115.205.101:8888/newlive/live/hls/4/live.m3u8
CCTV04电信,http://124.115.205.101:8888/newlive/live/hls/5/live.m3u8
CCTV05电信,http://124.115.205.101:8888/newlive/live/hls/6/live.m3u8
CCTV+5电信,http://124.115.205.101:8888/newlive/live/hls/7/live.m3u8
CCTV06电信,http://124.115.205.101:8888/newlive/live/hls/8/live.m3u8
CCTV07电信,http://124.115.205.101:8888/newlive/live/hls/9/live.m3u8
CCTV08电信,http://124.115.205.101:8888/newlive/live/hls/10/live.m3u8
CCTV09电信,http://124.115.205.101:8888/newlive/live/hls/11/live.m3u8
CCTV10电信,http://124.115.205.101:8888/newlive/live/hls/12/live.m3u8
CCTV11电信,http://124.115.205.101:8888/newlive/live/hls/13/live.m3u8
CCTV12电信,http://124.115.205.101:8888/newlive/live/hls/14/live.m3u8
CCTV13电信,http://124.115.205.101:8888/newlive/live/hls/15/live.m3u8
CCTV14电信,http://124.115.205.101:8888/newlive/live/hls/16/live.m3u8
CCTV15电信,http://124.115.205.101:8888/newlive/live/hls/17/live.m3u8

央视-综合,#genre#
CCTV-01*备用,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV-02*财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-03*综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8 
CCTV-04*国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-05*体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-05+体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-06*电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-07*军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8 
CCTV-08*电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-09*纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10*科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11*戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV-12*社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13*新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14*少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8 
CCTV-16*奥林,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17*农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8 
黑龙江*综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8





中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
凤凰中文频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
1905电影,http://xxw.me0.cn/1905dy.php?id=1905a

央视频道[V4],#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV1,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv1hd265/57/20191230/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV2,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv2hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV3,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV4,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv4hd265/57/20191230/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV4欧洲,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV4美洲,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV5,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv5hd265/57/20191230/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV5+,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/2500/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV6,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv6hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV7,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/57/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV8,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv8hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV9,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/57/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV10,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv10hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV11,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv11hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV12,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/57/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV13,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv13/57/20220913/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV14,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv14hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV15,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/57/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV17,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/57/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV1,http://124.115.205.101:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://124.115.205.101:8888/newlive/live/hls/3/live.m3u8
CCTV3,http://124.115.205.101:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://124.115.205.101:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://124.115.205.101:8888/newlive/live/hls/6/live.m3u8
CCTV5+,http://124.115.205.101:8888/newlive/live/hls/7/live.m3u8
CCTV6,http://124.115.205.101:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://124.115.205.101:8888/newlive/live/hls/9/live.m3u8
CCTV8,http://124.115.205.101:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://124.115.205.101:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://124.115.205.101:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://124.115.205.101:8888/newlive/live/hls/13/live.m3u8
CCTV12,http://124.115.205.101:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://124.115.205.101:8888/newlive/live/hls/15/live.m3u8
CCTV14,http://124.115.205.101:8888/newlive/live/hls/16/live.m3u8
CCTV15http://124.115.205.101:8888/newlive/live/hls/17/live.m3u8
CCTV17,http://124.115.205.101:8888/newlive/live/hls/19/live.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/1.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV1,http://60.10.139.10:8801/hls/1/index.m3u8
CCTV2,http://60.10.139.10:8801/hls/2/index.m3u8
CCTV3,http://60.10.139.10:8801/hls/3/index.m3u8
CCTV4,http://60.10.139.10:8801/hls/4/index.m3u8
CCTV5,http://60.10.139.10:8801/hls/5/index.m3u8
CCTV6,http://60.10.139.10:8801/hls/6/index.m3u8
CCTV7,http://60.10.139.10:8801/hls/7/index.m3u8
CCTV8,http://60.10.139.10:8801/hls/8/index.m3u8
CCTV9,http://60.10.139.10:8801/hls/9/index.m3u8
CCTV10,http://60.10.139.10:8801/hls/10/index.m3u8
CCTV11,http://60.10.139.10:8801/hls/11/index.m3u8
CCTV12,http://60.10.139.10:8801/hls/12/index.m3u8
CCTV13,http://60.10.139.10:8801/hls/13/index.m3u8
CCTV14,http://60.10.139.10:8801/hls/14/index.m3u8
CCTV15,http://60.10.139.10:8801/hls/15/index.m3u8
CCTV16,http://60.10.139.10:8801/hls/16/index.m3u8
CCTV17,http://60.10.139.10:8801/hls/17/index.m3u8
CCTV16 4Khttp://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/1.m3u8
CCTV1,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV2,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV3,http://58.19.38.162:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV4,http://58.19.38.162:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV5,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV5+,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV6,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV7,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV8,http://58.19.38.162:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV9,http://58.19.38.162:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV10,http://58.19.38.162:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV11,http://58.19.38.162:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV12,http://58.19.38.162:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV13,http://58.19.38.162:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV14,http://58.19.38.162:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV15,http://58.19.38.162:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通 酒店
CCTV2,https://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/1.m3u8
CGTN-英语新闻,http://live.cgtn.com/1000/prog_index.m3u8
CGTN-纪录,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8#https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN-俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN-法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN-西班牙语,https://livees.cgtn.com/1000e/prog_index.m3u8
CCTV6,http://ygbh.live/1905.php?id=cctv6
1905国内电影,http://ygbh.live/1905.php?id=1905a
1905国外电影,http://ygbh.live/1905.php?id=1905b
重温经典,http://mtw.so/5NPX0U
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
CCTV-4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV3,http://59.62.8.250:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://59.62.8.250:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://59.62.8.250:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://59.62.8.250:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://59.62.8.250:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://59.62.8.250:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,hhttp://59.62.8.250:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://59.62.8.250:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://59.62.8.250:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://59.62.8.250:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://59.62.8.250:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://59.62.8.250:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://117.27.190.42:9998/tsfile/live/23249_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4http://113.74.172.186:4000/udp/239.253.43.121:5146?$广东电信主力线
CCTV-4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
金庸剧场,http://live.dxms.top/dwy/jyjc.php
经典喜剧,http://live.dxms.top/dwy/jdxj1.php
经典喜剧,http://live.dxms.top/dwy/jdxj.php
抗战剧,http://live.iill.top/yy.php?id=1507704566
封神榜86版,http://live.iill.top/yy.php?id=1353426319
红楼梦87版,http://live.iill.top/yy.php?id=1382745084
三国演义94版,http://live.iill.top/yy.php?id=1354930932
新水浒传11版,http://159.75.85.63:35455/huya/11342384?cdn=txcdn
新水浒传11版,http://159.75.85.63:35455/huya/11342384?cdn=hscdn
新水浒传11版,http://159.75.85.63:35455/huya/11342384?cdn=hwcdn
天龙八部黄日华版,http://live.iill.top/yy.php?id=1351814644
倚天屠龙记吴启华版,http://159.75.85.63:35455/huya/23734246?cdn=txcdn
倚天屠龙记吴启华版,http://159.75.85.63:35455/huya/23734246?cdn=hwcdn
倚天屠龙记苏有朋版,http://live.iill.top/yy.php?id=1449856066
包青天93,http://live.iill.top/yy.php?id=1356158015
神雕侠侣,http://live.iill.top/yy.php?id=1351762426
鹿鼎记,http://live.iill.top/yy.php?id=28265277
笑傲江湖,http://live.iill.top/yy.php?id=1354930909
武林外传,http://live.iill.top/yy.php?id=21092633
四大名捕,http://live.iill.top/yy.php?id=1354936203
笑傲江湖2,http://live.iill.top/yy.php?id=1354282410
寻秦记,http://live.iill.top/yy.php?id=1382851591
寒山潜龙,http://live.iill.top/yy.php?id=1382745103
隋唐英雄传,http://live.iill.top/yy.php?id=1352475619
老三国,http://159.75.85.63:35455/huya/11602081?cdn=hwcdn
新三国,http://159.75.85.63:35455/huya/11352944?cdn=txcdn
新三国,http://159.75.85.63:35455/huya/11352944?cdn=hscdn
新三国,http://159.75.85.63:35455/huya/11352944?cdn=hwcdn

少年包青天,http://live.iill.top/yy.php?id=1356043677
少年包青天1-3,http://live.iill.top/yy.php?id=38498680
少年包青天3,http://live.iill.top/yy.php?id=1382851540
风云雄霸天下,http://159.75.85.63:35455/huya/21059612?cdn=txcdn
风云雄霸天下,http://159.75.85.63:35455/huya/21059612?cdn=hscdn
风云雄霸天下,http://159.75.85.63:35455/huya/21059612?cdn=hwcdn

燕双鹰,http://live.iill.top/yy.php?id=1354143942

打狗棍,http://live.iill.top/yy.php?id=39736069


二炮手,http://live.iill.top/yy.php?id=1354930964
老农民,http://159.75.85.63:35455/huya/29580971?cdn=txcdn
新水浒传11版,http://cfss.cc/cdn/hy/11342384.flv
笑傲江湖吕颂贤版,http://cfss.cc/cdn/hy/23865142.flv




中华小当家,http://159.75.85.63:35455/huya/24257300?cdn=hwcdn
网球王子,http://159.75.85.63:35455/huya/11352882?cdn=txcdn
斗罗大陆,http://159.75.85.63:35455/huya/11352906?cdn=hscdn
斗罗大陆,http://159.75.85.63:35455/huya/11352906?cdn=hwcdn
知否知否,http://live.iill.top/yy.php?id=21881901

神医喜来乐,http://live.iill.top/yy.php?id=1382714119
宰相刘罗锅,http://live.iill.top/yy.php?id=1382745191
康熙微服私访记,http://live.iill.top/yy.php?id=1352811698
康熙王朝,http://159.75.85.63:35455/huya/11352940?cdn=hwcdn
大汉天子,http://live.iill.top/yy.php?id=1382736807
忠烈杨家将,http://live.iill.top/yy.php?id=1382749909
鹊刀门传奇,http://live.iill.top/yy.php?id=1355344777

神探狄仁杰,http://live.iill.top/yy.php?id=1351755386
神探狄仁杰hy,http://159.75.85.63:35455/huya/11342425?cdn=hwcdn
李卫当官,http://159.75.85.63:35455/huya/26355788?cdn=hwcdn

仙剑奇侠传,http://live.iill.top/yy.php?id=1382749903
武林外传,http://live.iill.top/yy.php?id=1355652820
宝莲灯前传,http://live.iill.top/yy.php?id=1354931631
宝莲灯前传HY,http://159.75.85.63:35455/huya/21059563?cdn=txcdn
西游记,http://159.75.85.63:35455/huya/26355861?cdn=txcdn
西游记后传,http://live.iill.top/yy.php?id=1382736846
西游记张卫健版,http://live.iill.top/yy.php?id=1354936155
西游记2,http://159.75.85.63:35455/huya/29465859?cdn=txcdn
济公游记,http://live.iill.top/yy.php?id=1355265814
新白娘子传奇,http://live.iill.top/yy.php?id=1354930969
太子妃升职记,http://live.iill.top/yy.php?id=1354932359
楚汉骄雄,http://159.75.85.63:35455/huya/23740156?cdn=hwcdn
洗冤录,http://159.75.85.63:35455/huya/23903130?cdn=hwcdn
金玉满堂,http://live.iill.top/yy.php?id=1382736881
天下第一,http://live.iill.top/yy.php?id=1382736838
公主嫁到,http://live.iill.top/yy.php?id=1382736915
延禧攻略,http://159.75.85.63:35455/huya/26355864?cdn=txcdn
延禧攻略,http://159.75.85.63:35455/huya/26355864?cdn=hwcdn
宫心计,http://live.iill.top/yy.php?id=1354932429
寻秦记,http://live.iill.top/yy.php?id=1382749900
福贵,http://live.iill.top/yy.php?id=1354926537
金婚,http://live.iill.top/yy.php?id=1382736832
黑冰,http://live.iill.top/yy.php?id=1354932427
天道,http://live.iill.top/yy.php?id=1382735574
父母爱情,http://live.iill.top/yy.php?id=1354926650
情满四合院,http://live.iill.top/yy.php?id=1382736888
爱情公寓,http://159.75.85.63:35455/huya/11336726?cdn=txcdn
爱情公寓,http://159.75.85.63:35455/huya/11336726?cdn=hwcdn
