

💥暮雨｜直播,#genre#
湖南卫视北联,http://123.118.49.201:8686/rtp/239.3.1.132:8012
深圳卫视北联,http://123.118.49.201:8686/rtp/239.3.1.134:8020
广东卫视北联,http://123.118.49.201:8686/rtp/239.3.1.142:8048
安徽卫视北联,http://123.118.49.201:8686/rtp/239.3.1.211:8064
天津卫视北联,http://123.118.49.201:8686/rtp/239.3.1.141:1234
重庆卫视北联,http://123.118.49.201:8686/rtp/239.3.1.122:8160
山东卫视北联,http://123.118.49.201:8686/rtp/239.3.1.209:8052
黑龙江视北联,http://123.118.49.201:8686/rtp/239.3.1.133:8016
河北卫视北联,http://123.118.49.201:8686/rtp/239.3.1.148:8072
辽宁卫视北联,http://123.118.49.201:8686/rtp/239.3.1.210:8056
湖北卫视北联,http://123.118.49.201:8686/rtp/239.3.1.138:8044
吉林卫视北联,http://123.118.49.201:8686/rtp/239.3.1.240:8172
贵州卫视北联,http://123.118.49.201:8686/rtp/239.3.1.149:8076
东南卫视北联,http://123.118.49.201:8686/rtp/239.3.1.156:8148
江西卫视北联,http://123.118.49.201:8686/rtp/239.3.1.123:8164
海南卫视北联,http://123.118.49.201:8686/rtp/239.3.1.45:8304
云南卫视北联,http://123.118.49.201:8686/rtp/239.3.1.26:8108
兵团卫视北联,http://123.118.49.201:8686/rtp/239.3.1.144:4120
厦门卫视北联,http://123.118.49.201:8686/rtp/239.3.1.143:4120
四川卫视北联,http://123.118.49.201:8686/rtp/239.3.1.29:8288
南方卫视北联,http://123.118.49.201:8686/rtp/239.3.1.161:8001
宁夏卫视北联,http://123.118.49.201:8686/rtp/239.3.1.46:8124
山西卫视北联,http://123.118.49.201:8686/rtp/239.3.1.42:8172
广西卫视北联,http://123.118.49.201:8686/rtp/239.3.1.39:8300
新疆卫视北联,http://123.118.49.201:8686/rtp/239.3.1.48:8160
河南卫视北联,http://123.118.49.201:8686/rtp/239.3.1.27:8128
甘肃卫视北联,http://123.118.49.201:8686/rtp/239.3.1.49:8188
西藏卫视北联,http://123.118.49.201:8686/rtp/239.3.1.47:8164
三沙卫视北联,http://123.118.49.201:8686/rtp/239.3.1.155:4120
陕西卫视北联,http://123.118.49.201:8686/rtp/239.3.1.41:8140
青海卫视北联,http://123.118.49.201:8686/rtp/239.3.1.44:8184
内蒙古视北联,http://123.118.49.201:8686/rtp/239.3.1.43:8176
北京新闻北联,http://123.118.49.201:8686/rtp/239.3.1.159:8000
北京影视北联,http://123.118.49.201:8686/rtp/239.3.1.158:8000
北京文艺北联,http://123.118.49.201:8686/rtp/239.3.1.242:8000
北京财经北联,http://123.118.49.201:8686/rtp/239.3.1.116:8000
北京生活北联,http://123.118.49.201:8686/rtp/239.3.1.117:8000
北京青年北联,http://114.254.83.83:9000/# rtp/239.3.1.118:8000
北京科教北联,http://123.118.49.201:8686/rtp/239.3.1.115:8000
北京少儿北联,http://123.118.49.201:8686/rtp/239.3.1.189:8000
北京纪实北联,http://114.254.83.83:2222/# rtp/239.3.1.243:8000
北京纪实北联,http://114.254.83.83:2222/# rtp/239.3.1.120:8000
北京纪实北联,http://123.113.186.22:2222/# rtp/239.3.1.121:8000
北京体育北联,http://123.118.49.201:8686/rtp/239.3.1.243:8000
北京国际北联,http://123.118.49.201:8686/rtp/239.3.1.235:8000
爱上—4K北联,http://123.118.49.201:8686/rtp/239.3.1.236:2000
4K超清—北联,http://123.118.49.201:8686/rtp/239.3.1.249:8001
北淘电影北联,http://123.118.49.201:8686/rtp/239.3.1.250:8001
每日影院北联,http://123.113.186.22:9000/# rtp/239.3.1.111:8001
星影频道北联,http://123.118.49.201:8686/rtp/239.3.1.94:4120
动作影院北联,http://123.118.49.201:8686/rtp/239.3.1.92:4120
光影频道北联,http://123.118.49.201:8686/rtp/239.3.1.84:4120
喜剧影院北联,http://123.118.49.201:8686/rtp/239.3.1.91:4120
家庭影院北联,http://123.118.49.201:8686/rtp/239.3.1.93:4120
精选频道北联,http://123.118.49.201:8686/rtp/239.3.1.74:4120
经典电影北联,http://123.118.49.201:8686/rtp/239.3.1.195:9024
纪实人文北联,http://123.118.49.201:8686/rtp/239.3.1.212:8060
金鹰纪实北联,http://123.118.49.201:8686/rtp/239.3.1.58:8156
风尚生活北联,http://114.254.83.83:2222/# rtp/239.3.1.114:8001
地理频道北联,http://123.118.49.201:8686/rtp/239.3.1.71:4120
北淘剧场北联,http://123.118.49.201:8686/rtp/239.3.1.95:8001
幸福剧场北联,http://114.254.83.83:2222/# rtp/239.3.1.112:8001
北淘娱乐北联,http://123.118.49.201:8686/rtp/239.3.1.100:8001
幸福娱乐北联,http://114.254.83.83:2222/# rtp/239.3.1.113:8001
北淘baby北联,http://123.118.49.201:8686/rtp/239.3.1.238:8001
北萌宠TV北联,http://123.118.49.201:8686/rtp/239.3.1.102:8001
中国交通北联,http://123.118.49.201:8686/rtp/239.3.1.188:8001
朝阳融媒北联,http://123.118.49.201:8686/rtp/239.3.1.163:8001
通州融媒北联,http://123.118.49.201:8686/rtp/239.3.1.221:8001
密云电视北联,http://123.118.49.201:8686/rtp/239.3.1.154:8001
延庆电视北联,http://123.118.49.201:8686/rtp/239.3.1.187:8001
房山电视北联,http://123.118.49.201:8686/rtp/239.3.1.96:8001
睛彩竞技北联,http://123.118.49.201:8686/rtp/239.3.1.125:8001
睛彩篮球北联,http://123.118.49.201:8686/rtp/239.3.1.126:8001
睛彩羽球北联,http://123.118.49.201:8686/rtp/239.3.1.127:8001
睛彩广场北联,http://123.118.49.201:8686/rtp/239.3.1.128:8001
北茶频道北联,http://123.118.49.201:8686/rtp/239.3.1.165:8001
体育赛事北联,http://123.118.49.201:8686/rtp/239.3.1.157:8176
北淘精彩北联,http://123.118.49.201:8686/rtp/239.3.1.178:8001
快乐垂钓北联,http://123.118.49.201:8686/rtp/239.3.1.164:8001
健康频道北联,http://123.118.49.201:8686/rtp/239.3.1.251:8001
CETV-01北联,http://123.118.49.201:8686/rtp/239.3.1.57:8152
CETV-02北联,http://123.118.49.201:8686/rtp/239.3.1.54:4120
CETV-03北联,http://123.118.49.201:8686/rtp/239.3.1.55:4120
CETV-04北联,http://123.118.49.201:8686/rtp/239.3.1.56:4120
少儿动画北联,http://123.118.49.201:8686/rtp/239.3.1.199:9000
热播剧场北联,http://123.118.49.201:8686/rtp/239.3.1.194:9020
解密频道北联,http://123.118.49.201:8686/rtp/239.3.1.75:4120
军事频道北联,http://123.118.49.201:8686/rtp/239.3.1.76:4120
军旅剧场北联,http://123.118.49.201:8686/rtp/239.3.1.68:4120
动画频道北联,http://123.118.49.201:8686/rtp/239.3.1.80:4120
古装剧场北联,http://123.118.49.201:8686/rtp/239.3.1.69:4120
台球频道北联,http://123.118.49.201:8686/rtp/239.3.1.85:4120
嘉佳卡通北联,http://123.118.49.201:8686/rtp/239.3.1.147:9268
国学频道北联,http://123.118.49.201:8686/rtp/239.3.1.77:4120
城市剧场北联,http://123.118.49.201:8686/rtp/239.3.1.67:4120
墨宝频道北联,http://123.118.49.201:8686/rtp/239.3.1.83:4120
北好学生北联,http://123.118.49.201:8686/rtp/239.3.1.81:4120
山东教育北联,http://123.118.49.201:8686/rtp/239.3.1.52:4120
戏曲频道北联,http://123.118.49.201:8686/rtp/239.3.1.78:4120
收视指南北联,http://123.118.49.201:8686/rtp/239.3.1.193:8012
早教频道北联,http://123.118.49.201:8686/rtp/239.3.1.79:4120
武侠剧场北联,http://123.118.49.201:8686/rtp/239.3.1.90:4120
武术频道北联,http://123.118.49.201:8686/rtp/239.3.1.87:4120
北爱生活北联,http://123.118.49.201:8686/rtp/239.3.1.86:4120
美人频道北联,http://123.118.49.201:8686/rtp/239.3.1.73:4120
美妆频道北联,http://123.118.49.201:8686/rtp/239.3.1.72:4120
财富天下北联,http://123.118.49.201:8686/rtp/239.3.1.53:9136
足球频道北联,http://123.118.49.201:8686/rtp/239.3.1.89:4120
金鹰卡通北联,http://123.118.49.201:8686/rtp/239.3.1.51:9252
鉴赏频道北联,http://123.118.49.201:8686/rtp/239.3.1.82:4120
音乐现场北联,http://123.118.49.201:8686/rtp/239.3.1.70:4120
高网频道北联,http://123.118.49.201:8686/rtp/239.3.1.88:4120

魅力时尚北联,http://123.118.49.201:8686/rtp/239.3.1.196:9012

💥暮雨｜天津,#genre#
CCTV-01天津,http://221.198.177.123:8888/udp/225.1.1.120:5002
CCTV-02天津,http://221.198.177.123:8888/udp/225.1.1.133:5002
CCTV-03天津,http://221.198.177.123:8888/udp/225.1.1.158:5002
CCTV-04天津,http://221.198.177.123:8888/udp/225.1.1.150:5002
CCTV-05天津,http://221.198.177.123:8888/udp/225.1.1.160:5002
CCTV-5+天津,http://221.198.177.123:8888/udp/225.1.1.121:5002
CCTV-06天津,http://221.198.177.123:8888/udp/225.1.1.195:5002
CCTV-07天津,http://221.198.177.123:8888/udp/225.1.1.138:5002
CCTV-08天津,http://221.198.177.123:8888/udp/225.1.1.196:5002
CCTV-09天津,http://221.198.177.123:8888/udp/225.1.1.119:5002
CCTV-10天津,http://221.198.177.123:8888/udp/225.1.1.140:5002
CCTV-11天津,http://221.198.177.123:8888/udp/225.1.2.192:5002
CCTV-12天津,http://221.198.177.123:8888/udp/225.1.1.142:5002
CCTV-13天津,http://221.198.177.123:8888/udp/225.1.2.193:5002
CCTV-14天津,http://221.198.177.123:8888/udp/225.1.1.144:5002
CCTV-15天津,http://221.198.177.123:8888/udp/225.1.2.194:5002
CCTV-16天津,http://221.198.177.123:8888/udp/225.1.2.237:5002
CCTV-17天津,http://221.198.177.123:8888/udp/225.1.2.52:5002
兵器科技天津,http://221.198.177.123:8888/udp/225.1.2.166:5002
第一剧场天津,http://221.198.177.123:8888/udp/225.1.2.175:5002
电视指南天津,http://221.198.177.123:8888/udp/225.1.2.167:5002
风云剧场天津,http://221.198.177.123:8888/udp/225.1.2.174:5002
风云音乐天津,http://221.198.177.123:8888/udp/225.1.2.176:5002
风云足球天津,http://221.198.177.123:8888/udp/225.1.2.168:5002
高尔网球天津,http://221.198.177.123:8888/udp/225.1.2.169:5002
怀旧剧场天津,http://221.198.177.123:8888/udp/225.1.2.173:5002
女性时尚天津,http://221.198.177.123:8888/udp/225.1.2.172:5002
世界地理天津,http://221.198.177.123:8888/udp/225.1.2.171:5002
文化精品天津,http://221.198.177.123:8888/udp/225.1.2.177:5002
央视台球天津,http://221.198.177.123:8888/udp/225.1.2.170:5002
北京卫视天津,http://221.198.177.123:8888/udp/225.1.1.113:5002
东方卫视天津,http://221.198.177.123:8888/udp/225.1.2.31:5002
天津卫视天津,http://221.198.177.123:8888/udp/225.1.1.111:5002
浙江卫视天津,http://221.198.177.123:8888/udp/225.1.1.112:5002
江苏卫视天津,http://221.198.177.123:8888/udp/225.1.1.126:5002
湖南卫视天津,http://221.198.177.123:8888/udp/225.1.1.114:5002
广东卫视天津,http://221.198.177.123:8888/udp/225.1.1.116:5002
深圳卫视天津,http://221.198.177.123:8888/udp/225.1.1.117:5002
安徽卫视天津,http://221.198.177.123:8888/udp/225.1.1.127:5002
贵州卫视天津,http://221.198.177.123:8888/udp/225.1.2.28:5002
海南卫视天津,http://221.198.177.123:8888/udp/225.1.2.82:5002
三沙卫视天津,http://221.198.177.123:8888/udp/225.1.2.181:5002
河南卫视天津,http://221.198.177.123:8888/udp/225.1.2.61:5002
黑龙江视天津,http://221.198.177.123:8888/udp/225.1.1.115:5002
湖北卫视天津,http://221.198.177.123:8888/udp/225.1.1.147:5002
吉林卫视天津,http://221.198.177.123:8888/udp/225.1.2.26:5002
甘肃卫视天津,http://221.198.177.123:8888/udp/225.1.1.30:5002
江西卫视天津,http://221.198.177.123:8888/udp/225.1.2.29:5002
辽宁卫视天津,http://221.198.177.123:8888/udp/225.1.1.154:5002
内蒙古视天津,http://221.198.177.123:8888/udp/225.1.1.32:5002
宁夏卫视天津,http://221.198.177.123:8888/udp/225.1.1.56:5002
青海卫视天津,http://221.198.177.123:8888/udp/225.1.1.54:5002
山西卫视天津,http://221.198.177.123:8888/udp/225.1.1.50:5002
陕西卫视天津,http://221.198.177.123:8888/udp/225.1.1.41:5002
四川卫视天津,http://221.198.177.123:8888/udp/225.1.1.123:5002
西藏卫视天津,http://221.198.177.123:8888/udp/225.1.1.51:5002
新疆卫视天津,http://221.198.177.123:8888/udp/225.1.1.35:5002
兵团卫视天津,http://221.198.177.123:8888/udp/225.1.1.57:5002
广西卫视天津,http://221.198.177.123:8888/udp/225.1.2.81:5002
云南卫视天津,http://221.198.177.123:8888/udp/225.1.1.61:5002
重庆卫视天津,http://221.198.177.123:8888/udp/225.1.1.155:5002
河北卫视天津,http://221.198.177.123:8888/udp/225.1.2.27:5002
保定卫视天津,http://221.198.177.123:8888/udp/225.1.1.83:5002
山东教育天津,http://221.198.177.123:8888/udp/225.1.2.118:5002
河东卫视天津,http://221.198.177.123:8888/udp/225.1.2.2:5002
河西卫视天津,http://221.198.177.123:8888/udp/225.1.2.4:5002
蓟州卫视天津,http://221.198.177.123:8888/udp/225.1.1.82:5002
静海卫视天津,http://221.198.177.123:8888/udp/225.1.1.110:5002
4k私享家天津,http://221.198.177.123:8888/udp/225.1.1.156:5002
4k影视频天津,http://221.198.177.123:8888/udp/225.1.2.190:5002
早期教育天津,http://221.198.177.123:8888/udp/225.1.2.207:5002
CGTN-英天津,http://221.198.177.123:8888/udp/225.1.1.27:5002
CGTN-纪天津,http://221.198.177.123:8888/udp/225.1.1.55:5002
动作电影天津,http://221.198.177.123:8888/udp/225.1.1.215:5002
影迷电影天津,http://221.198.177.123:8888/udp/225.1.1.214:5002
家庭影院天津,http://221.198.177.123:8888/udp/225.1.1.213:5002
足球频道天津,http://221.198.177.123:8888/udp/225.1.2.83:5002
网络棋牌天津,http://221.198.177.123:8888/udp/225.1.1.217:5002
游戏竞技天津,http://221.198.177.123:8888/udp/225.1.1.222:5002
财富天下天津,http://221.198.177.123:8888/udp/225.1.2.198:5002
茶频道综天津,http://221.198.177.123:8888/udp/225.1.2.19:5002
车迷频道天津,http://221.198.177.123:8888/udp/225.1.2.199:5002
东方财经天津,http://221.198.177.123:8888/udp/225.1.1.247:5002
东方购物天津,http://221.198.177.123:8888/udp/225.1.1.223:5002
动漫秀场天津,http://221.198.177.123:8888/udp/225.1.1.134:5002
都市剧场天津,http://221.198.177.123:8888/udp/225.1.1.146:5002
法制天地天津,http://221.198.177.123:8888/udp/225.1.1.237:5002
风尚购物天津,http://221.198.177.123:8888/udp/225.1.2.204:5002
风尚生活天津,http://221.198.177.123:8888/udp/225.1.2.58:5002
哈哈炫动天津,http://221.198.177.123:8888/udp/225.1.1.62:5002
好享购物天津,http://221.198.177.123:8888/udp/225.1.1.224:5002
欢乐动漫天津,http://221.198.177.123:8888/udp/225.1.1.132:5002
欢笑剧场天津,http://221.198.177.123:8888/udp/225.1.1.139:5002
环球旅游天津,http://221.198.177.123:8888/udp/225.1.2.200:5002
环球奇观天津,http://221.198.177.123:8888/udp/225.1.1.197:5002
极速汽车天津,http://221.198.177.123:8888/udp/225.1.1.141:5002
纪实人文天津,http://221.198.177.123:8888/udp/225.1.2.25:5002
家家购物天津,http://221.198.177.123:8888/udp/225.1.1.227:5002
家庭理财天津,http://221.198.177.123:8888/udp/225.1.2.23:5002
家有购物天津,http://221.198.177.123:8888/udp/225.1.1.226:5002
金色学堂天津,http://221.198.177.123:8888/udp/225.1.1.236:5002
金鹰纪实天津,http://221.198.177.123:8888/udp/225.1.1.124:5002
金鹰卡通天津,http://221.198.177.123:8888/udp/225.1.2.236:5002
靓妆频道天津,http://221.198.177.123:8888/udp/225.1.1.200:5002
环球精选天津,http://221.198.177.123:8888/udp/225.1.1.102:5002
卡酷少儿天津,http://221.198.177.123:8888/udp/225.1.1.58:5002
快乐垂钓天津,http://221.198.177.123:8888/udp/225.1.1.92:5002
快乐生活天津,http://221.198.177.123:8888/udp/225.1.2.24:5002
乐游频道天津,http://221.198.177.123:8888/udp/225.1.1.145:5002
梨园频道天津,http://221.198.177.123:8888/udp/225.1.2.104:5002
每日影院天津,http://221.198.177.123:8888/udp/225.1.2.57:5002
魅力足球天津,http://221.198.177.123:8888/udp/225.1.1.137:5002
汽摩频道天津,http://221.198.177.123:8888/udp/225.1.1.205:5002
三角英语天津,http://221.198.177.123:8888/udp/225.1.2.182:5002
生活时尚天津,http://221.198.177.123:8888/udp/225.1.1.143:5002
生态环境天津,http://221.198.177.123:8888/udp/225.1.2.201:5002
书法频道天津,http://221.198.177.123:8888/udp/225.1.2.22:5002
四海钓鱼天津,http://221.198.177.123:8888/udp/225.1.2.202:5002
陶瓷频道天津,http://221.198.177.123:8888/udp/225.1.1.153:5002
文物宝库天津,http://221.198.177.123:8888/udp/225.1.2.105:5002
武术世界天津,http://221.198.177.123:8888/udp/225.1.2.129:5002
先锋乒羽天津,http://221.198.177.123:8888/udp/225.1.1.219:5002
动漫频道天津,http://221.198.177.123:8888/udp/225.1.1.216:5002
新老故事天津,http://221.198.177.123:8888/udp/225.1.1.188:5002
新中学生天津,http://221.198.177.123:8888/udp/225.1.1.193:5002
幸福彩频天津,http://221.198.177.123:8888/udp/225.1.1.152:5002
幸福剧场天津,http://221.198.177.123:8888/udp/225.1.2.59:5002
幸福娱乐天津,http://221.198.177.123:8888/udp/225.1.2.60:5002
央广购物天津,http://221.198.177.123:8888/udp/225.1.1.65:5002
湖北购物天津,http://221.198.177.123:8888/udp/225.1.2.183:5002
优综购物天津,http://221.198.177.123:8888/udp/225.1.1.225:5002
优优宝贝天津,http://221.198.177.123:8888/udp/225.1.2.203:5002
游戏风云天津,http://221.198.177.123:8888/udp/225.1.1.135:5002
悦美生活天津,http://221.198.177.123:8888/udp/225.1.2.55:5002
中国天气天津,http://221.198.177.123:8888/udp/225.1.2.119:5002
中华特产天津,http://221.198.177.123:8888/udp/225.1.2.197:5002
中视购物天津,http://221.198.177.123:8888/udp/225.1.2.85:5002
天津新闻天津,http://221.198.177.123:8888/udp/225.1.1.130:5002
天津文艺天津,http://221.198.177.123:8888/udp/225.1.1.131:5002
天津影视天津,http://221.198.177.123:8888/udp/225.1.1.149:5002
天津都市天津,http://221.198.177.123:8888/udp/225.1.1.128:5002
天津体育天津,http://221.198.177.123:8888/udp/225.1.1.122:5002
天津科教天津,http://221.198.177.123:8888/udp/225.1.1.129:5002
天津少儿天津,http://221.198.177.123:8888/udp/225.1.1.125:5002
天津购物天津,http://221.198.177.123:8888/udp/225.1.1.151:5002
天津IPTV天津,http://221.198.177.123:8888/udp/225.1.2.123:5002
购物自营天津,http://221.198.177.123:8888/udp/225.1.1.108:5002
文艺广播天津,http://221.198.177.123:8888/udp/225.1.1.171:5002
经济广播天津,http://221.198.177.123:8888/udp/225.1.1.172:5002
新闻广播天津,http://221.198.177.123:8888/udp/225.1.1.173:5002
生活广播天津,http://221.198.177.123:8888/udp/225.1.1.174:5002
交通广播天津,http://221.198.177.123:8888/udp/225.1.1.175:5002
相声广播天津,http://221.198.177.123:8888/udp/225.1.1.176:5002
小说广播天津,http://221.198.177.123:8888/udp/225.1.1.177:5002
滨海广播天津,http://221.198.177.123:8888/udp/225.1.1.178:5002
音乐广播天津,http://221.198.177.123:8888/udp/225.1.1.179:5002
农村广播天津,http://221.198.177.123:8888/udp/225.1.1.180:5002
滨海频_1天津,http://221.198.177.123:8888/udp/225.1.2.7:5002
滨海频_2天津,http://221.198.177.123:8888/udp/225.1.2.8:5002
💥暮雨｜咪咕,#genre#
CCTV1,https://api.livednow.org/migu/608807420?sign=gAAAAABnJcJqONXJva4TySqKVwkHLHby6Ne_WRDndhTk_GS6KA-nBZI-nPc8RaYfnLJYnZOi1_gpZX90FSquN6BF0XzcOnsBN41Kfi9k-GihR8VqmFvGDaU3-w7RPpKH_jQp1rc5eqRkG97TL1ZanN0d0KISy_vT_x2wMEchVQyRwJVbcr-5Q8MDl1WIvSdo9b0tlPwCujaaYIRxzFT-4iEr-NoUcuO0hw%3D%3D
CCTV2,https://api.livednow.org/migu/631780532?sign=gAAAAABnJcJqr0fwyjCRZenumPiYq29AgCGZbexK2XyM9exSQfwePDL4rwLxMaYmUy5BI5tmZ3p5Opg3XGESQyj1Myyx8xlfa--CzghtRa5MzC5lgOOROQFokKNIjS1xgPhehkOToP6coFx9T1FJaYtv8R7vSMPYGiBtsqx-CdWfMNReSPjRaDJSSrjZ0WKCW5GajQiFiD1fOBTLjS-S7V-uzyIxCqKWiQ%3D%3D
CCTV3,https://api.livednow.org/migu/624878271?sign=gAAAAABnJcJqBzuFtK_e-R8Y5zzuNWtH9dD5ErIUOw3PaGq-2cUt_ty4tVxaFlKDox0cB51jc5h1UbnYdWwVB34WOYuNc8lg2HAeZSq8eQxhLSx7-W74CNR6KtgxXvTUzW_5zsQ33PZEpqm7sIuxliL32bQtzxcIIdpid2Gub7vsNYzKJWuVjAicsjoVCenU41Q5dMi8XPDUfnmgkYYiwWzmBdMXqP4I5A%3D%3D
CCTV4,https://api.livednow.org/migu/631780421?sign=gAAAAABnJcJqz7oNO-xridbK_3LKb0rcdjVs_WY_BR-BFoq8eOg8Qvn3RMaRgOohlrGPc3mJhNalk-OevwcUL7y3ObKzAeZuWtWBxqyoXyW34cmtmAnNx9EC9rXDbjauxADNT6Li789Xmb3ezb7EUlD91o2aUf1qh-cxlGyyOjS9aZEyU-1CBA-uJhURtKm5m9k2wQBuSTDlSq_X2EYHz1jXzPXsKoJ7eA%3D%3D
CCTV5,https://api.livednow.org/migu/641886683?sign=gAAAAABnJcJq1zvWEm2fLwSljJPThpBYL_E8K7V3Vjqwa1MKKvqUi_E3bRWybwa_x3oX2iF9HH-wEJfMaE_5OvwPzGGu3NicPIuQA4yciDbKNZf7joK5ZUFzK0L36mvXUWWl9JorCKCXbQ62LAhIlbf2kzScSCcb9oUHPKWds9wWjWjam34gaFfwW7rHxvnvlcqRaj88yHfSrWqHJghFI-bLaFvNz1HoPw%3D%3D
CCTV5+,https://api.livednow.org/migu/641886773?sign=gAAAAABnJcJqTze6PuXdG9BEej5eW4BLImQigfoMaUf8uqVsrTWU2XPcpNAQkBcD0muMqEF9LzvxjIx7EBojiQbkHBD5j0Jhgf5-rBwl8jU3IJw5gsTQ2K6WngtWzyYcEmpoNgChlKkREdafyGUHTP8U4-G_ggVp1wP9_OuDXbCnXAQZKWP8e_nvjKVAHWsAfsrkcP2wHVy9aBq_REPOhp0w5W60Na3IcQ%3D%3D
CCTV6,https://api.livednow.org/migu/624878396?sign=gAAAAABnJcJqCeZPI9pdAJI3zwOoz9SDiYBoZQL2_YxTBPm_gj4SRFhG652Dpip8x7O4oFhlJnHFS7Q4Kf_7eU_C9FrHiwmE9NDcuC5hEnGmyVWm8ntsvjsPsht86e15yA-OlkJj8m8OOe0qL_OVbjhSq3iySwkXSGvcKXQvvn6bYSRHZOe8Fc0EhG8AsW_DtSzMfG2-4VfItHk5oSqULRJ7DuT8Hr-neQ%3D%3D
CCTV7,https://api.livednow.org/migu/673168121?sign=gAAAAABnJcJqjxuw5GDu1iojWpw4c-mjlefodslPuTvBI0grkKhdH8h_8I3xIavNltrXtbWMtHw2egHRBx-ciorem6WfS3xSWscFzvRmGcIdMlNJzhJ72fhC6f4jukCtJf6F79fYHQr5HfVJPSsBq9qCvVa1xZUsL40rtzOqtvaErO6BDEcA1JD4CyrNUboyvMBD11iNwc58nYXZiV-cubZaPaet8B6Xyg%3D%3D
CCTV8,https://api.livednow.org/migu/624878356?sign=gAAAAABnJcJqw9dP6jwWUpKtifWTU97cE4kDpJmHWTbZD1ezcD3BLnqA4kJ_aSSQhe-ijrx2Z5Bm-wNBbguJ08avBolBe_yGvaJ1XKsKys_EAvx1QOauipvQfuKV15NrpBtQEMBADkCRzEwhHzbrcugddFVzwBFgmu7RrqSIIe848HA7b03yYseeTrXmOBJr1i1i99vgEUQOlaa1ismbhcTCecoRnyCfpQ%3D%3D
CCTV9,https://api.livednow.org/migu/673168140?sign=gAAAAABnJcJqdqv3pFhYgBnmgGSIbZzHbX-DBJ-zNXsXFK68-5Wan9QqWYyKUxKv-XaTGYQIel_BUzZGYjzs5NPKiqPSXuul1GUOzl4VFlTGdyR6nNrAKB_lLRVjYzhVt6KX7j3DAzD44tiZocsNItrAhkJX7yIj6OGUq8s_mfXT_nlO_Xmgp4LUF7YnUnrICTc0LNBR-pQ1H2eiQcO2V6TCwrqhcHkABg%3D%3D
